dataset,Outside Temperature,Avg. Temperature,RH,va,Tg,Gender,Age,Height,Weight,Duration,Icl,Thermal feeling (global)
4,12.9,18.31,61.18,0.05,18.31,1,60,181,86,5.0,0.6954,1
4,12.9,18.8,60.71,0.01,18.06,0,25,168,58,5.0,0.97095,1
4,13.1,19.41,56.475,0.07,20.315,0,51,160,64,10.0,1.2632,1
4,13.0,18.675,61.83,0.04,18.495,0,38,172,57,12.5,1.4135,-1
4,13.1,19.39,56.7,0.07,20.375,0,21,172,55,5.0,1.0294,0
4,13.1,18.655,62.17,0.05,18.5,0,43,176,55,7.5,1.4803,0
4,13.1,16.87,61.67,0.05,18.06,1,47,172,98,22.5,0.9291999999999999,0
4,13.0,19.845,57.08,0.07,20.625,0,34,170,75,10.0,1.1964,-1
4,13.1,17.06,61.1,0.05,18.25,0,28,170,60,2.5,1.17135,1
4,13.1,17.27,60.85,0.01,18.37,0,51,166,68,2.5,1.0628,0
4,13.0,20.310000000000002,55.41,0.09,20.810000000000002,0,56,166,82,7.5,1.1296,1
4,13.0,18.71,57.42,0.06,18.47,0,51,160,65,27.5,1.23815,1
4,8.1,18.265,58.815,0.07,19.625,1,34,186,78,12.5,1.07115,0
4,7.9,18.265,58.885,0.07,19.625,0,26,172,64,12.5,1.2465,1
4,7.9,17.325,58.42,0.08,19.155,1,26,180,85,10.0,1.27155,0
4,7.7,17.02,69.17,0.07,16.69,1,27,185,95,2.5,1.0962,-1
4,6.9,15.06,64.16,0.05,16.69,0,30,165,53,7.5,1.8477,1
