dataset,Outside Temperature,Avg. Temperature,Temperature difference,RH,va,Tg,Age,Male,Female,Height,Weight,Well-being,Duration,Icl,Alley,Window,y
August,17.8,22.06,2.27,58.19,0.28,22.31,26,1,0,176.0,84.0,1.0,22.5,0.6119,0,1,1
August,18.1,22.44,1.99,57.58,0.29,22.62,15,1,0,195.0,60.0,1.0,7.5,0.58685,1,0,-1
August,18.1,23.17,1.52,59.67,0.1,23.19,15,1,0,178.0,60.0,1.0,7.5,0.7622,0,1,1
August,18.3,22.39,1.71,54.95,0.08,22.75,19,0,1,167.0,55.0,0.0,52.5,1.18805,0,1,1
August,18.3,22.54,2.11,57.65,0.33,22.69,21,1,0,184.0,80.0,2.0,22.5,0.8791,1,0,1
August,18.4,21.98,2.78,57.36,0.26,22.13,47,1,0,185.0,86.0,1.0,7.5,0.4616,1,0,0
August,18.4,22.56,1.95,57.29,0.29,22.75,33,0,1,172.0,70.0,2.0,7.5,0.6703500000000001,1,0,0
August,18.1,23.67,1.425,48.364999999999995,0.255,23.810000000000002,18,1,0,200.0,100.0,1.0,7.5,0.9626,0,1,1
August,18.1,22.58,1.44,53.73,0.15,22.69,34,1,0,182.0,80.0,1.0,7.5,0.80395,1,0,1
August,18.1,22.6,1.48,53.66,0.1,22.75,43,1,0,176.0,95.0,1.0,7.5,0.8540500000000001,1,0,0
August,17.1,22.04,1.425,53.504999999999995,0.195,22.875,35,1,0,175.0,65.0,0.0,7.5,0.662,1,0,-1
August,16.6,20.58,1.48,63.02,0.22,20.62,38,1,0,186.0,78.0,1.0,7.5,1.18805,0,1,-1
August,16.41,21.935000000000002,1.79,55.010000000000005,0.175,22.25,26,1,0,178.0,65.0,1.0,7.5,1.10455,1,0,0
August,16.1,20.66,1.8,61.64,0.06,21.25,27,1,0,171.0,55.0,0.0,7.5,0.88745,0,1,-1
August,15.3,20.8,1.52,68.93,0.09,21.0,25,0,1,158.0,45.0,1.0,7.5,1.15465,1,0,1
August,15.3,21.950000000000003,1.6349999999999998,58.015,0.14,22.09,36,1,0,179.0,110.0,1.0,7.5,0.62025,1,0,1
August,15.3,20.81,1.57,68.96,0.09,21.0,23,1,0,180.0,82.0,1.0,7.5,1.0795,0,1,1
August,15.1,20.87,1.53,67.16,0.26,20.81,25,1,0,184.0,80.0,2.0,22.5,0.60355,0,1,0
August,15.0,23.17,1.92,57.894999999999996,0.04,24.22,24,0,1,165.0,56.0,2.0,22.5,0.90415,1,0,0
August,15.0,22.015,1.495,59.125,0.15,22.12,34,0,1,150.0,50.0,2.0,7.5,0.60355,0,1,1
August,15.0,20.83,1.74,67.1,0.09,21.25,28,1,0,186.0,95.0,1.0,22.5,0.8958,0,1,-1
August,14.8,20.45,2.34,64.23,0.27,21.0,46,1,0,178.0,105.0,1.0,22.5,0.6954,1,0,1
August,14.8,20.86,1.76,62.54,0.06,21.19,24,1,0,190.0,89.0,0.0,7.5,0.72045,0,1,0
August,15.0,22.9,2.05,57.755,0.04,23.78,42,0,1,167.0,70.0,2.0,7.5,0.5451,0,1,0
August,15.2,21.38,1.63,68.9,0.09,21.75,48,1,0,178.0,68.0,1.0,22.5,0.78725,0,1,0
August,15.41,21.44,1.63,68.6,0.09,21.81,26,0,1,165.0,58.0,1.0,7.5,0.7121000000000001,1,0,1
November,5.2,12.83,4.65,74.57,0.44,12.81,62,0,1,162.0,60.0,0.0,7.5,1.1964,1,0,-1
November,5.3,13.274999999999999,3.4,72.64,0.0,12.435,36,0,1,163.0,65.0,0.0,7.5,0.8457,1,0,0
November,5.3,13.275,3.3600000000000003,72.695,0.0,12.435,44,1,0,190.0,100.0,1.0,7.5,1.38845,0,1,-1
November,5.3,12.59,4.19,78.67,0.13,11.63,31,0,1,170.0,55.0,1.0,7.5,1.4469,0,1,1
November,5.6,12.925,2.9450000000000003,72.94999999999999,0.0,12.375,33,1,0,188.0,85.0,2.0,7.5,1.1296,0,1,-1
November,5.6,12.29,2.63,76.63,0.1,11.5,23,0,1,168.0,68.0,-1.0,22.5,1.07115,1,0,-1
November,5.5,11.43,3.47,75.47,0.12,12.31,77,0,1,165.0,62.0,1.0,7.5,1.30495,0,1,-1
November,5.5,11.95,3.7,81.54,0.04,11.31,22,0,1,178.0,80.0,0.0,7.5,1.0628,0,1,0
November,5.6,11.96,2.6799999999999997,78.975,0.03,11.625,25,0,1,163.0,65.0,-1.0,7.5,1.1463,0,1,0
November,5.6,11.96,2.6799999999999997,78.975,0.03,11.625,82,0,1,165.0,62.0,1.0,7.5,1.15465,0,1,-1
November,5.5,11.96,2.725,79.94,0.03,11.655000000000001,27,0,1,168.0,57.0,0.0,37.5,0.98765,0,1,0
November,5.4,11.69,3.51,77.94,0.03,10.75,38,1,0,187.0,69.0,0.0,7.5,0.8958,1,0,0
November,5.3,11.44,3.3,81.3,0.06,11.0,33,1,0,174.0,61.0,1.0,7.5,1.30495,0,1,0
November,5.2,11.41,3.3,77.89,0.03,10.56,73,1,0,167.0,83.0,1.0,7.5,1.05445,0,1,0
November,5.4,10.87,1.475,77.71000000000001,0.03,10.875,61,1,0,176.0,80.0,0.0,7.5,1.00435,1,0,-1
November,5.4,10.885,1.47,77.955,0.03,10.844999999999999,38,1,0,183.0,60.0,1.0,7.5,1.23815,0,1,-1
November,5.6,10.71,1.79,78.53,0.12,10.13,35,1,0,189.0,87.0,0.0,7.5,1.3133,0,1,-1
November,5.6,10.64,2.82,79.56,0.03,9.81,47,1,0,184.0,81.0,1.0,22.5,0.8958,1,0,-1
